income,debt_ratio,credit_utilization,age,open_credit_lines,late_payments,real_estate_loans,dependents,default
0.243847454,-0.164471358,-0.705182024,-0.015432996,-0.078424771,0.730460738,0.363777327,0.727296131,0
0.650236892,0.274935538,-0.776536345,-0.959131792,-1.123291381,-0.572504147,-0.918579917,0.073885869,0
-3.390671875,-0.590640075,-1.34347028,6.169132702,1.222753302,1.43964899,-1.715076376,3.223088983,1
0.064792911,-0.032959921,-0.723131298,-1.063064648,-0.201072328,-0.770710633,0.890635574,-1.379625654,1
0.438060099,-0.91498901,0.953397533,-0.033631269,-0.048063259,-0.860909294,0.51116937,-0.449293791,0
-1.699952098,-2.445341232,1.099487025,4.337324891,1.058422189,-4.416416503,-1.6580416,-1.632832695,1
1.665085962,1.009175558,0.486168598,-3.838227839,-0.611565402,0.742467637,1.574377095,-1.167637392,1
-2.37052629,-1.734690481,1.179259335,2.186475919,-1.772809163,1.047549054,2.538128352,1.908527041,0
-1.465862081,-0.754055744,-0.379101748,1.166861172,-3.290090702,-1.928187441,-1.41107149,0.842802456,0
-1.902544352,0.00980248,0.761672186,3.13601765,-0.465676299,0.196461464,-2.079091681,1.977811077,1
-0.639683434,-1.297987364,-0.906807726,1.413486749,-1.39433143,-3.030405827,-1.466405037,-0.558118879,0
-0.184505272,-1.992526454,0.128628691,0.475259634,-0.151582147,-0.810657313,2.390176673,-0.565941457,0
-0.881116717,-1.770021696,-0.202616768,3.130645161,0.142644201,-1.402804708,-0.950175761,0.833019562,1
0.222599773,-0.108210866,-0.918969121,0.259594698,1.242854713,0.643802864,0.600290545,-0.051017258,1
2.259127104,-2.044703159,-0.476397761,2.060033384,1.176270481,0.14661799,-1.543823528,2.606369897,1
0.805313417,-0.988449786,-0.881424906,1.294314428,1.542429559,1.02054155,0.293029727,1.278315479,0
-0.110539391,0.902536279,0.840356824,-2.304581343,-0.977165376,0.573621594,1.594612648,-0.987164823,1
1.464586973,0.591667151,1.907297836,-0.353911242,2.070323589,2.896844949,0.438779962,1.497615122,0
-0.573520974,3.333676428,-0.857738881,-5.313240712,-2.863938255,1.274759345,1.601008689,-1.858291488,1
-1.428043246,-1.350887698,1.284041007,1.728272151,-1.136305746,-0.090937856,1.023460116,1.016077165,0
0.458099089,-0.899423368,-0.169819686,1.285298836,1.440137984,0.911295729,0.478383168,1.00736168,0
-2.249413028,-0.516358333,-1.65669252,5.823879984,3.077316855,-0.26240067,-2.763275302,1.232803122,0
1.867333485,-0.370503125,0.191631962,-1.050299096,1.068027867,1.321323243,1.051222368,0.566350435,0
1.371105628,2.85675205,-2.245670438,-2.463153486,2.277277612,1.653559384,-0.942889973,-1.184139515,1
-3.185585137,-1.440473263,0.969230588,4.545127501,2.220558806,-2.152283335,0.199052738,-1.653836798,1
0.68151787,-1.418007133,0.06115646,0.830284294,0.869063984,0.699965056,1.259747633,0.913181538,0
-2.019733291,-2.030623503,-0.4700715,2.138403487,-2.244146203,-1.358950558,1.012973745,0.708197841,0
